Wall time,Step,Value
1757103205.2811973,0,-787.8124389648438
1757103424.022729,1,-369.0443115234375
1757103643.5064683,2,-360.62445068359375
1757103865.0567386,3,-358.285400390625
1757104072.533639,4,-358.7363586425781
1757104225.6261613,5,-357.76300048828125
1757104431.5644615,6,-360.02587890625
1757104656.5208426,7,-359.5850830078125
1757104883.3608794,8,-360.32562255859375
1757105110.5992632,9,-358.9996643066406
1757105280.431457,10,-357.4857177734375
1757105466.1565917,11,-357.0147705078125
1757105697.0042226,12,-356.51458740234375
1757105928.8273528,13,-358.79376220703125
1757106161.9167166,14,-358.9359130859375
1757106343.6233773,15,-360.3101806640625
1757106524.1261992,16,-356.7820129394531
1757106762.5819225,17,-358.72802734375
1757107002.3780131,18,-356.9745178222656
1757107243.0854259,19,-357.2135009765625
1757107421.737266,20,-359.3852233886719
