Wall time,Step,Value
1757094531.5364385,0,-652.8739013671875
1757094750.4688017,1,-362.14471435546875
1757094915.2583864,2,-208.75912475585938
1757095136.564997,3,-219.34385681152344
1757095359.064259,4,-194.47332763671875
1757095582.4905305,5,-207.11260986328125
1757095806.9389157,6,-225.8059539794922
1757095974.603317,7,-193.222900390625
1757096201.4028623,8,-344.07220458984375
1757096429.609262,9,-246.0472412109375
1757096660.440366,10,-251.47564697265625
1757096870.745254,11,-301.74432373046875
1757097060.1110752,12,-347.2965087890625
1757097292.7082713,13,-305.7888488769531
1757097526.227596,14,-289.396240234375
1757097761.090592,15,-284.28143310546875
1757097940.4707181,16,-359.8907470703125
1757098169.0311155,17,-288.0968017578125
1757098407.9316783,18,-296.6418762207031
1757098648.584173,19,-302.5999755859375
1757098855.4106581,20,-290.3697509765625
